year,quarter,tone_all,tone_real,tone_guid,tone_all_z,tone_real_z,tone_guid_z,report_date,similarity_prev,surprise_prev,avg_sent_len
2001,1,0.5782152170261284,0.5717875546918524,0.6416348187243178,-0.241257418849297,-0.1574324392169824,-0.4373841282734104,2001-05-14,,,55.8159509202454
2001,2,0.5472901717121172,0.5281043882274359,0.6303122893367386,-0.8547739344436722,-0.9831357727924492,-0.5872577872747148,2001-07-16,0.9342142802555568,0.06578571974444325,68.77815699658703
2001,3,0.4576227174214861,0.4546269508786069,0.4873871075894473,-2.633670733462475,-2.372013225413283,-2.4791248090897637,2001-10-29,0.9333602547800635,0.06663974521993654,67.33333333333333
2001,4,0.5859881621735783,0.5873003468123815,0.5817030592124866,-0.0870513320239679,0.1357918209203428,-1.2306867359290614,2002-03-06,0.9341558439703703,0.06584415602962967,56.08058608058608
2002,1,0.6015994535313235,0.5963592326623877,0.6177642026524478,0.2226583217689405,0.3070237358714425,-0.7533538600217843,2002-05-20,0.9446162064300117,0.05538379356998835,51.36929460580913
2002,2,0.5614332181149632,0.5689947519631682,0.5245257314749151,-0.5741925331600884,-0.2102222598672701,-1.9875295778957287,2002-08-02,0.9521796994201953,0.047820300579804687,60.68016194331984
2002,3,0.594922224448634,0.5866510485526494,0.6244439599543021,0.0901899525542617,0.1235187239601602,-0.6649354833675529,2002-10-24,0.941631112553038,0.058368887446962,68.05387205387206
2002,4,0.609460839532298,0.5806242649017017,0.7578296670671402,0.3786189710771921,0.009599890823848,1.1006597559265328,2003-02-20,0.9425449094382331,0.0574550905617669,61.74015748031496
2003,1,0.620189842053371,0.6503368970339032,0.4881822831234648,0.5914697583822535,1.3273146400686828,-2.468599257532155,2003-05-14,0.9577422006385627,0.042257799361437254,59.85352112676056
2003,2,0.5210180329506005,0.5075772667583041,0.6292334325501147,-1.3759822581991417,-1.3711413593283357,-0.6015383608651961,2003-08-05,0.9632137361725842,0.03678626382741579,62.95467422096317
2003,3,0.6157807624107451,0.6044176582923186,0.6782778350620902,0.503998805571834,0.4593448573593755,0.0476508623543023,2003-10-27,0.9646476483867724,0.035352351613227584,59.70192307692308
2003,4,0.6521005496554232,0.6320555218418202,0.7364567083710022,1.2245406541358614,0.9817583615250284,0.8177509275345413,2004-02-26,0.9672515446828569,0.0327484553171431,63.538666666666664
2004,1,0.5721616135301932,0.5736254441138889,0.5669174049342349,-0.3613537901206885,-0.1226924799753637,-1.426400964751534,2004-05-11,0.9665566055872223,0.03344339441277766,62.04237288135593
2004,2,0.5825511325670818,0.546296780436114,0.7530808629608932,-0.1552379557382124,-0.6392614589957585,1.0378009526573262,2004-08-09,0.9686975859837019,0.031302414016298075,58.86796536796537
2004,3,0.6207461948130609,0.6213277162055288,0.6177920661393242,0.6025071425833242,0.7789803673278578,-0.7529850375981226,2004-11-16,0.9774573113134659,0.022542688686534085,62.44298245614035
2004,4,0.6228839606710942,0.5974868225072237,0.7576126814184557,0.6449179021168912,0.3283375454952345,1.0977875679192504,2005-02-28,0.9747692163713695,0.025230783628630515,64.18375241779498
2005,1,0.5835586963647019,0.5776036569540641,0.6399748592023236,-0.13524907539614,-0.0474959255662154,-0.459356622125204,2005-05-26,0.9640638023502555,0.03593619764974454,63.3391959798995
