period,year,quarter,report_date,AllShock_raw,AllShock_z,All_n_used,All_r2,All_rho,All_dw,RealShock_raw,RealShock_z,Real_n_used,Real_r2,Real_rho,Real_dw,GuidShock_raw,GuidShock_z,Guid_n_used,Guid_r2,Guid_rho,Guid_dw
2001Q1,2001,1,2001-05-14,,,94,0.4520705998348341,0.3617540334004727,2.097576449304263,,,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,,,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2001Q2,2001,2,2001-07-16,,,94,0.4520705998348341,0.3617540334004727,2.097576449304263,,,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,,,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2001Q3,2001,3,2001-10-29,-2.4277828711467437,-3.276345992092596,94,0.4520705998348341,0.3617540334004727,2.097576449304263,-2.180529797406491,-2.9256562292541024,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,-2.436820746945996,-2.6502949144051575,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2001Q4,2001,4,2002-03-06,0.5788377072276315,0.7811541240718676,94,0.4520705998348341,0.3617540334004727,2.097576449304263,0.5559934270975175,0.7459864274026095,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,-0.8232067380761037,-0.8953225772398216,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2002Q1,2002,1,2002-05-20,-0.15599704115504,-0.2105214130311434,94,0.4520705998348341,0.3617540334004727,2.097576449304263,-0.1432863972401084,-0.19224994822427635,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,-0.7242841341626626,-0.7877340012643074,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2002Q2,2002,2,2002-08-02,-1.195168088228622,-1.6129054300046308,94,0.4520705998348341,0.3617540334004727,2.097576449304263,-0.8706002378235538,-1.168100069995858,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,-2.035663328095261,-2.213994678374885,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2002Q3,2002,3,2002-10-24,-0.3062416247273597,-0.4132797589569794,94,0.4520705998348341,0.3617540334004727,2.097576449304263,-0.442983798104577,-0.5943593662075906,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,-0.44725814334302083,-0.4864395480110261,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2002Q4,2002,4,2003-02-20,-0.20402992450170598,-0.2753428378429787,94,0.4520705998348341,0.3617540334004727,2.097576449304263,-0.59471551328579,-0.7979405501122157,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,1.0746706790761709,1.1688156541614638,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2003Q1,2003,1,2003-05-14,0.0009367938184020597,0.0012642237116078099,94,0.4520705998348341,0.3617540334004727,2.097576449304263,0.8456402696430261,1.1346108296854636,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,-2.7708476550046486,-3.013583768052604,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2003Q2,2003,2,2003-08-05,-1.790884024425444,-2.4168370925845895,94,0.4520705998348341,0.3617540334004727,2.097576449304263,-1.952923599338047,-2.6202728806808326,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,-0.14835112258791966,-0.1613472087488647,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2003Q3,2003,3,2003-10-27,0.9361585647858315,1.263366422982653,94,0.4520705998348341,0.3617540334004727,2.097576449304263,0.8756045305471193,1.1748144199658277,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,-0.08067172294970931,-0.08773885290408488,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2003Q4,2003,4,2004-02-26,0.9712809662436478,1.310764870601912,94,0.4520705998348341,0.3617540334004727,2.097576449304263,0.7688599156107068,1.031593241333235,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,0.8309390286496549,0.9037322439785291,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2004Q1,2004,1,2004-05-11,-0.5256637949941745,-0.709394768529631,94,0.4520705998348341,0.3617540334004727,2.097576449304263,-0.11508960609515663,-0.1544178040562291,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,-1.4815892707308675,-1.611381762231149,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2004Q2,2004,2,2004-08-09,0.2497970216001895,0.33710653464239737,94,0.4520705998348341,0.3617540334004727,2.097576449304263,-0.24193886957986965,-0.3246137529177173,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,1.1818018159959203,1.285331859839988,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2004Q3,2004,3,2004-11-16,0.9403451510074071,1.269016312497332,94,0.4520705998348341,0.3617540334004727,2.097576449304263,1.2444889521123919,1.6697533137662548,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,-0.8455399855300518,-0.9196122966307664,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2004Q4,2004,4,2005-02-28,0.8036498272315354,1.0845429884972604,94,0.4520705998348341,0.3617540334004727,2.097576449304263,0.45296596204216605,0.6077526159307554,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,1.4835115250723068,1.6134724128921356,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2005Q1,2005,1,2005-05-26,-0.2620327869879966,-0.3536189671852594,94,0.4520705998348341,0.3617540334004727,2.097576449304263,-0.021808317586369426,-0.02926061376092601,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,-0.7405554768480523,-0.8054307714611624,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2005Q2,2005,2,2005-08-04,0.11416385409526664,0.15406661372077154,94,0.4520705998348341,0.3617540334004727,2.097576449304263,-0.2133295199393787,-0.2862280715616704,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,2.0227057757889915,2.1999019983845796,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2005Q3,2005,3,2005-11-09,-0.06505479553619734,-0.08779286696291223,94,0.4520705998348341,0.3617540334004727,2.097576449304263,-0.10640397924374827,-0.14276414156878064,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,0.7713063168918031,0.8388754945019433,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2005Q4,2005,4,2006-02-21,-0.5242116452330292,-0.7074350607211649,94,0.4520705998348341,0.3617540334004727,2.097576449304263,-0.5458440928458881,-0.73236888224849,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,-0.10984586953883119,-0.11946875853385412,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2006Q1,2006,1,2006-05-31,0.22514410424473902,0.3038368844068438,94,0.4520705998348341,0.3617540334004727,2.097576449304263,0.10485494887609637,0.14068577953502595,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,0.678364176498998,0.7377912919295166,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2006Q2,2006,2,2006-08-10,0.39780336359003066,0.536844324683586,94,0.4520705998348341,0.3617540334004727,2.097576449304263,0.4646311215812201,0.6234039712625047,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,-0.26499022915415477,-0.2882043160435544,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2006Q3,2006,3,2006-11-14,1.0250641669082745,1.3833464741850316,94,0.4520705998348341,0.3617540334004727,2.097576449304263,1.266672856970092,1.6995178597556313,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,-2.293941525762194,-2.4948989650920286,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2006Q4,2006,4,2007-02-09,1.4700219962041765,1.9838267798950944,94,0.4520705998348341,0.3617540334004727,2.097576449304263,1.3291472337127637,1.7833408598831053,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,2.0650309992418796,2.2459350620019327,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2007Q1,2007,1,2007-05-10,0.49168989682480735,0.6635462511742092,94,0.4520705998348341,0.3617540334004727,2.097576449304263,0.6299932357804733,0.8452733078178201,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,0.6145456502936828,0.6683820357670536,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2007Q2,2007,2,2007-08-08,0.07763704617726508,0.10477288892010465,94,0.4520705998348341,0.3617540334004727,2.097576449304263,0.1153559475555011,0.1547751592061181,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,0.31363173704852504,0.34110699309233267,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2007Q3,2007,3,2007-11-08,0.0800371757651534,0.10801191620266655,94,0.4520705998348341,0.3617540334004727,2.097576449304263,-0.14352912823441447,-0.19257562478525217,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,0.7900001238053991,0.8592069454123428,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2007Q4,2007,4,2008-02-22,1.8258758073309589,2.4640592676156317,94,0.4520705998348341,0.3617540334004727,2.097576449304263,2.2703205862598876,3.046130153091811,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,-1.0379661174929384,-1.128895642391445,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2008Q1,2008,1,2008-05-14,-0.6645724381791143,-0.8968550153971893,94,0.4520705998348341,0.3617540334004727,2.097576449304263,-0.6214701821554417,-0.8338377727657319,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,-0.21863595405885428,-0.23778924152484784,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2008Q2,2008,2,2008-08-15,0.3979692530360279,0.5370681961129395,94,0.4520705998348341,0.3617540334004727,2.097576449304263,0.39610448935540665,0.5314605505948704,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,-0.15295807922096566,-0.16635775117417406,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2008Q3,2008,3,2008-11-17,-1.3919847731447013,-1.8785138435351056,94,0.4520705998348341,0.3617540334004727,2.097576449304263,-1.3152999409381434,-1.764761696960139,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,-1.0301917395496283,-1.1204402012796433,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2008Q4,2008,4,2009-02-23,-0.9954410236220614,-1.3433693955374977,94,0.4520705998348341,0.3617540334004727,2.097576449304263,-1.2467271233498667,-1.6727563085571626,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,-0.6814737660427919,-0.7411732925810353,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2009Q1,2009,1,2009-05-06,0.11841254773038701,0.1598003185460638,94,0.4520705998348341,0.3617540334004727,2.097576449304263,0.10122487439146055,0.13581524300703954,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,0.2432994440904156,0.2646133410340337,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2009Q2,2009,2,2009-08-05,-0.9304761555773642,-1.2556978876878144,94,0.4520705998348341,0.3617540334004727,2.097576449304263,-0.9089697063159821,-1.2195810791714987,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,-0.13712208760678535,-0.14913447035131305,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2009Q3,2009,3,2009-11-11,1.0989563482398972,1.4830655862316906,94,0.4520705998348341,0.3617540334004727,2.097576449304263,0.9589225019649743,1.2866036476926808,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,0.5534803375537853,0.6019671843653073,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2009Q4,2009,4,2010-02-11,-0.4424050986864934,-0.5970353400171141,94,0.4520705998348341,0.3617540334004727,2.097576449304263,-0.47281123979313494,-0.6343793836742794,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,0.7612589543728456,0.8279479472785579,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
2010Q1,2010,1,2010-05-10,-0.29145203870964925,-0.39332088971471196,94,0.4520705998348341,0.3617540334004727,2.097576449304263,-0.18597266722735326,-0.2495228879659591,94,0.4444778280253835,0.3005569924600132,2.1921570065531646,-0.056568805143091816,-0.061524433741221636,94,0.15865823722112182,0.22763212613149733,2.0186802399039276
