year,quarter,tone_all,tone_real,tone_guid,tone_all_z,tone_real_z,tone_guid_z,report_date,similarity_prev,surprise_prev,avg_sent_len,comm_shock_real,comm_shock_guid
2001,1,0.5782152170261284,0.5717875546918524,0.6416348187243178,-0.241257418849297,-0.1574324392169824,-0.4373841282734104,2001-05-14,,,55.8159509202454,,
2001,2,0.5472901717121172,0.5281043882274359,0.6303122893367386,-0.8547739344436722,-0.9831357727924492,-0.5872577872747148,2001-07-16,0.9342142802555604,0.0657857197444397,68.77815699658703,,
2001,3,0.4576227174214861,0.4546269508786069,0.4873871075894473,-2.633670733462475,-2.372013225413283,-2.479124809089764,2001-10-29,0.9333602547800568,0.066639745219943,67.33333333333333,-1.9960712978486526,-1.7898031056252197
2001,4,0.5859881621735783,0.5873003468123815,0.5817030592124866,-0.0870513320239679,0.1357918209203428,-1.2306867359290614,2002-03-06,0.9341558439703674,0.0658441560296325,56.08058608058608,1.5055472645070345,-0.02427587020669386
2002,1,0.6015994535313235,0.5963592326623877,0.6177642026524478,0.2226583217689405,0.3070237358714425,-0.7533538600217843,2002-05-20,0.944616206430014,0.0553837935699861,51.36929460580913,0.638355353761865,0.8858491525072465
2002,2,0.5614332181149632,0.5689947519631682,0.5245257314749151,-0.5741925331600884,-0.2102222598672701,-1.9875295778957287,2002-08-02,0.9521796994201966,0.0478203005798033,60.68016194331984,-1.084288673980376,-1.2183751139278676
2002,3,0.594922224448634,0.5866510485526494,0.6244439599543021,0.0901899525542617,0.1235187239601602,-0.6649354833675529,2002-10-24,0.9416311125530348,0.0583688874469651,68.05387205387206,-0.4974845415741872,0.38243874850879167
2002,4,0.609460839532298,0.5806242649017017,0.7578296670671402,0.3786189710771921,0.009599890823848,1.1006597559265328,2003-02-20,0.9425449094382274,0.0574550905617725,61.74015748031496,-0.5779181788919785,2.1415625270283303
2003,1,0.620189842053371,0.6503368970339032,0.4881822831234648,0.5914697583822535,1.3273146400686828,-2.468599257532155,2003-05-14,0.9577422006385634,0.0422577993614365,59.85352112676056,0.8247167042906172,-3.003149302741789
2003,2,0.5210180329506005,0.5075772667583041,0.6292334325501147,-1.3759822581991417,-1.3711413593283357,-0.6015383608651961,2003-08-05,0.9632137361725822,0.0367862638274177,62.95467422096317,-2.546875002489314,-0.23428281428737252
2003,3,0.6157807624107451,0.6044176582923186,0.6782778350620902,0.503998805571834,0.4593448573593755,0.0476508623543023,2003-10-27,0.9646476483867632,0.0353523516132368,59.70192307692308,0.338859510375483,1.230694849548363
2003,4,0.6521005496554232,0.6320555218418202,0.7364567083710022,1.2245406541358614,0.9817583615250284,0.8177509275345413,2004-02-26,0.9672515446828568,0.0327484553171432,63.53866666666666,1.2196292226026992,0.8370966606867272
2004,1,0.5721616135301932,0.5736254441138889,0.5669174049342349,-0.3613537901206885,-0.1226924799753637,-1.426400964751534,2004-05-11,0.9665566055872244,0.0334433944127755,62.04237288135593,-0.9032297570444361,-1.9005631473821862
2004,2,0.5825511325670818,0.546296780436114,0.7530808629608932,-0.1552379557382124,-0.6392614589957585,1.0378009526573262,2004-08-09,0.968697585983699,0.0313024140163009,58.86796536796537,-0.6629314696787085,1.6239110981988405
2004,3,0.6207461948130609,0.6213277162055288,0.6177920661393242,0.6025071425833242,0.7789803673278578,-0.7529850375981226,2004-11-16,0.9774573113134716,0.0225426886865283,62.44298245614035,1.7368336336841204,-0.2793112288387969
2004,4,0.6228839606710942,0.5974868225072237,0.7576126814184557,0.6449179021168912,0.3283375454952345,1.0977875679192504,2005-02-28,0.9747692163713748,0.025230783628625,64.18375241779498,0.2873034932503447,0.9366948416178208
2005,1,0.5835586963647019,0.5776036569540641,0.6399748592023236,-0.13524907539614,-0.0474959255662154,-0.459356622125204,2005-05-26,0.9640638023502506,0.0359361976497494,63.3391959798995,-0.5007403164726228,-0.3606453546276247
2005,2,0.5991874267381432,0.575642551269412,0.8233755888099752,0.1748065479511088,-0.0845649302280022,1.968275708859122,2005-08-04,0.9747416507827388,0.0252583492172613,63.56198347107438,-0.31789912776509466,1.6826784890876374
2005,3,0.6028756938161334,0.5859580914626034,0.7955713108673169,0.2479774275179297,0.1104203836706155,1.600237019930943,2005-11-09,0.9760035901438802,0.0239964098561198,63.6496062992126,-0.042835259917309104,0.7974353292977117
2005,4,0.5881574400314538,0.5761929272404289,0.7102857687096507,-0.0440154114875217,-0.0741616717014324,0.4713323533551815,2006-02-21,0.9745388874734446,0.0254611125265553,60.30303030303031,-0.3565705519994773,-1.294923918819626
