index,h,shock,beta,se,nobs,lo_90,hi_90,lo_95,hi_95,shock_label
SH,0,d_tone_policy,0.0320705861234107,0.172243526863908,77,-0.251244803757601,0.315385976004422,-0.305520523100005,0.369661695346827,dTonePolicy (z)
SH,0,d_tone_macro,0.151327699110061,0.196821158654817,77,-0.172414297564106,0.475069695784228,-0.234434683248824,0.537090081468947,dToneMacro (z)
SH,1,d_tone_policy,-0.0414208640549044,0.232946085546482,77,-0.424583077750184,0.341741349640375,-0.497986802065596,0.415145073955787,dTonePolicy (z)
SH,1,d_tone_macro,-0.0933035657317444,0.225292865427435,77,-0.46387735255635,0.277270221092861,-0.534869467943345,0.348262336479857,dToneMacro (z)
SH,2,d_tone_policy,-0.0137341898650958,0.254165483883097,77,-0.431799207876084,0.404330828145893,-0.511889384389162,0.484421004658971,dTonePolicy (z)
SH,2,d_tone_macro,-0.228121533293872,0.300230174034279,77,-0.721956223974428,0.265713157386683,-0.816561861473251,0.360318794885507,dToneMacro (z)
SH,3,d_tone_policy,0.0484459190815041,0.355080638250687,77,-0.535609756605382,0.63250159476839,-0.647499343497337,0.744391181660346,dTonePolicy (z)
SH,3,d_tone_macro,-0.153759229901543,0.382683578807854,77,-0.78321770247841,0.475699242675325,-0.903805261839831,0.596286802036746,dToneMacro (z)
SH,4,d_tone_policy,-0.225815751369199,0.42698428795094,77,-0.928142406056594,0.476510903318196,-1.06268957771752,0.611058074979123,dTonePolicy (z)
SH,4,d_tone_macro,-0.207201085262882,0.430641265118477,77,-0.915542932107978,0.501140761582215,-1.05124245515186,0.636840284626098,dToneMacro (z)
SH,5,d_tone_policy,-0.0831013350595257,0.462862341170364,77,-0.844442135712848,0.678239465593797,-0.99029485355333,0.824092183434278,dTonePolicy (z)
SH,5,d_tone_macro,-0.178378935093763,0.478099258408284,77,-0.964782234329437,0.608024364141912,-1.11543626260931,0.758678392421782,dToneMacro (z)
SH,6,d_tone_policy,-0.729665476558825,0.431148335325168,77,-1.43884137967252,-0.0204895734451328,-1.57470068579055,0.115369732672903,dTonePolicy (z)
SH,6,d_tone_macro,-0.285543389028656,0.419018359698905,77,-0.974767257738656,0.403680479681344,-1.10680428289956,0.535717504842247,dToneMacro (z)
SH,7,d_tone_policy,-0.632627549948755,0.53441547445371,77,-1.51166278140293,0.246407681505422,-1.68006263265891,0.414807532761402,dTonePolicy (z)
SH,7,d_tone_macro,-0.311730128923023,0.471243310463157,77,-1.08685639731496,0.463396139468919,-1.23535004538624,0.611889787540192,dToneMacro (z)
SH,8,d_tone_policy,-0.700904303167534,0.531574381506938,77,-1.57526635258371,0.173457746248638,-1.74277094602529,0.340962339690218,dTonePolicy (z)
SH,8,d_tone_macro,-0.139638197765783,0.4686898857958,77,-0.910564456332475,0.631288060800909,-1.05825349384374,0.778977098312175,dToneMacro (z)
SH,9,d_tone_policy,-0.700242157506208,0.547899243855763,77,-1.60145621596633,0.200971900953912,-1.77410494262023,0.373620627607815,dTonePolicy (z)
SH,9,d_tone_macro,-0.437086674456254,0.544244399086268,77,-1.33228904824133,0.458115699328818,-1.50378609545298,0.629612746540475,dToneMacro (z)
SH,10,d_tone_policy,-0.564391843890741,0.586601189318668,77,-1.5292649377156,0.400481249934116,-1.71410904824369,0.585325360462209,dTonePolicy (z)
SH,10,d_tone_macro,-0.292415928535666,0.520083521908137,77,-1.14787719586396,0.563045338792629,-1.31176090042836,0.726929043357031,dToneMacro (z)
SZ,0,d_tone_policy,0.0869201950403031,0.228190926960048,77,-0.28842047880735,0.462260868887956,-0.3603258034002,0.534166193480807,dTonePolicy (z)
SZ,0,d_tone_macro,0.171581360040429,0.23935349418501,77,-0.222120102993293,0.56528282307415,-0.297542868136008,0.640705588216865,dToneMacro (z)
SZ,1,d_tone_policy,-0.0209174093492482,0.313266605051598,77,-0.536195120871143,0.494360302172647,-0.634908672809513,0.593073854111017,dTonePolicy (z)
SZ,1,d_tone_macro,-0.0460781554187347,0.293354814336644,77,-0.528603885764039,0.436447574926569,-0.621043026209991,0.528886715372521,dToneMacro (z)
