"Index","Tone_Coef","Boot_p_value","Boot_CI_Lower","Boot_CI_Upper","Boot_Mean","Boot_SD"
"SH",NA,NA,NA,NA,NA,NA
"SZ",NA,NA,NA,NA,NA,NA
"HS300",NA,NA,NA,NA,NA,NA
"CSI500",NA,NA,NA,NA,NA,NA
