year,quarter,n_sentences,topn_target,tone_all,tone_p90_all,tone_policy,tone_p90_policy,tone_macro,tone_p90_macro,tone_all_z,tone_p90_all_z,tone_policy_z,tone_p90_policy_z,tone_macro_z,tone_p90_macro_z,similarity_prev,surprise_prev,avg_sent_len,avg_sent_len_rows,prev_quarter_available
2007,1,509,61,0.926935,0.99828,0.180097,0.993185,0.07981,0.297445,-0.691782,-1.678946,-0.404716,0.374471,-0.61085,-0.939844,0.20837661525037632,0.7916233847496237,19.64603616133519,55.50294695481336,1
2007,2,564,68,0.994972,0.99885,0.273959,0.997066,0.138709,0.795088,0.409696,0.324147,0.988015,0.395316,0.185978,0.313329,0.22809721213644946,0.7719027878635505,19.63360707517372,55.1063829787234,1
2007,3,544,65,0.993958,0.999026,0.25176,0.997437,0.11264,0.973467,0.39327,0.943186,0.658623,0.397307,-0.166699,0.762525,0.24901627217551134,0.7509837278244886,18.689699296225207,53.6985294117647,1
2007,4,578,69,0.988122,0.998642,0.156104,0.972204,0.126677,0.984696,0.2988,-0.408661,-0.760725,0.261771,0.023198,0.790802,0.3287331411973101,0.6712668588026899,19.0453446191052,54.5,1
2008,1,515,62,0.995018,0.998751,0.356678,0.993892,0.150428,0.988246,0.410434,-0.024581,2.2154,0.378267,0.344528,0.799741,0.26653065817373667,0.7334693418262633,18.757255936675463,55.21553398058253,1
2008,2,553,66,0.996515,0.999084,0.284397,0.994439,0.238473,0.988725,0.434666,1.146902,1.142891,0.381205,1.535664,0.800949,0.2596587957746831,0.7403412042253169,18.54794520547945,53.86618444846293,1
2008,3,511,61,0.997552,0.999113,0.373043,0.998385,0.181417,0.99359,0.451461,1.249825,2.458229,0.402403,0.76377,0.813199,0.23444390844044222,0.7655560915595578,17.243483788938335,53.08023483365949,1
2008,4,609,73,0.996685,0.99916,0.268056,0.994902,0.326008,0.996636,0.437429,1.413934,0.900426,0.383694,2.719904,0.82087,0.2767991840039788,0.7232008159960213,18.594668117519042,56.11986863711002,1
2009,1,489,59,0.995816,0.998906,0.129142,0.824089,0.28823,0.99383,0.423348,0.52098,-1.160798,-0.533817,2.208822,0.813804,0.2164863408548254,0.7835136591451746,17.934043970686208,55.04907975460123,1
2009,2,511,61,0.994839,0.998874,0.182904,0.982467,0.202897,0.989809,0.407533,0.407366,-0.363061,0.3169,1.054359,0.803678,0.26111713974495815,0.7388828602550419,17.630529595015577,55.37573385518591,1
2009,3,460,55,0.970119,0.998796,0.164435,0.993323,0.047933,0.098538,0.007337,0.132916,-0.637109,0.375212,-1.042119,-1.440736,0.3124378027823738,0.6875621972176262,17.919485791610285,57.57608695652174,1
2009,4,623,75,0.992691,0.998961,0.192979,0.997188,0.114351,0.91971,0.372769,0.715696,-0.213577,0.395969,-0.143551,0.627153,0.24404144099868297,0.755958559001317,17.815450643776824,53.30337078651685,1
2010,1,554,66,0.99645,0.998991,0.279192,0.998126,0.188614,0.995322,0.433612,0.820188,1.065655,0.401009,0.861133,0.81756,0.1895405079648671,0.8104594920351329,17.31089560752995,54.77617328519855,1
