event_date,event_date_raw,D_policy,S_policy,S_policy_available,interbank_date_used,D_RRR,D_RateAdj,D_SLF
2015-09-01,2015-09-01,1,-0.05349999999999966,1,2015-09-01,0,0,1
2015-10-08,2015-10-08,1,-0.029900000000000038,1,2015-10-08,0,0,1
2015-10-23,2015-10-23,1,0.006099999999999994,1,2015-10-23,1,1,0
2015-11-02,2015-11-02,1,0.0618000000000003,1,2015-11-02,0,0,1
2015-12-01,2015-12-01,1,0.07520000000000016,1,2015-12-01,0,0,1
2016-01-04,2016-01-04,1,0.12170000000000014,1,2016-01-04,0,0,1
2016-02-01,2016-02-01,1,0.24160000000000004,1,2016-02-01,0,0,1
2016-02-29,2016-02-29,1,0.06289999999999996,1,2016-02-29,1,0,0
2016-03-01,2016-03-01,1,-0.11149999999999993,1,2016-03-01,0,0,1
2016-04-01,2016-04-01,1,-0.09509999999999996,1,2016-04-01,0,0,1
2016-05-03,2016-05-03,1,0.04180000000000028,1,2016-05-03,0,0,1
2016-06-01,2016-06-01,1,-0.15249999999999986,1,2016-06-01,0,0,1
2016-07-01,2016-07-01,1,-0.08180000000000032,1,2016-07-01,0,0,1
2016-08-01,2016-08-01,1,-0.0596000000000001,1,2016-08-01,0,0,1
2016-09-01,2016-09-01,1,0.043299999999999894,1,2016-09-01,0,0,1
2016-10-08,2016-10-08,1,0.0005999999999999339,1,2016-10-08,0,0,1
2016-11-01,2016-11-01,1,-0.19989999999999997,1,2016-11-01,0,0,1
2016-12-01,2016-12-01,1,-0.2904,1,2016-12-01,0,0,1
2017-01-03,2017-01-03,1,-0.0913999999999997,1,2017-01-03,0,0,1
2017-02-03,2017-02-03,1,-0.009000000000000341,1,2017-02-03,0,0,1
2017-03-01,2017-03-01,1,0.023499999999999854,1,2017-03-01,0,0,1
2017-04-01,2017-04-01,1,-0.4811000000000001,1,2017-04-01,0,0,1
2017-05-02,2017-05-02,1,-0.0939000000000001,1,2017-05-02,0,0,1
2017-06-01,2017-06-01,1,0.041300000000000114,1,2017-06-01,0,0,1
2017-07-03,2017-07-03,1,-0.35749999999999993,1,2017-07-03,0,0,1
2017-08-01,2017-08-01,1,-0.17559999999999976,1,2017-08-01,0,0,1
2017-09-01,2017-09-01,1,-0.18159999999999998,1,2017-09-01,0,0,1
2017-10-09,2017-10-09,1,0.6114000000000002,1,2017-10-09,0,0,1
2017-11-01,2017-11-01,1,-0.34299999999999997,1,2017-11-01,0,0,1
2017-12-01,2017-12-01,1,-0.4190999999999998,1,2017-12-01,0,0,1
2018-01-02,2018-01-02,1,-0.8043999999999998,1,2018-01-02,0,0,1
2018-02-01,2018-02-01,1,0.09109999999999996,1,2018-02-01,0,0,1
2018-03-01,2018-03-01,1,-0.052000000000000046,1,2018-03-01,0,0,1
2018-04-02,2018-04-02,1,-0.7182,1,2018-04-02,0,0,1
2018-04-17,2018-04-17,1,0.31750000000000034,1,2018-04-17,1,0,0
2018-05-02,2018-05-02,1,0.16500000000000004,1,2018-05-02,0,0,1
2018-06-01,2018-06-01,1,-0.3227000000000002,1,2018-06-01,0,0,1
2018-06-24,2018-06-24,1,0.7573999999999996,1,2018-06-25,1,0,0
2018-07-02,2018-07-02,1,-0.714,1,2018-07-02,0,0,1
2018-08-01,2018-08-01,1,-0.5529999999999999,1,2018-08-01,0,0,1
2018-09-03,2018-09-03,1,-0.5817999999999999,1,2018-09-03,0,0,1
2018-10-07,2018-10-07,1,-0.24290000000000012,1,2018-10-08,1,0,0
2018-10-08,2018-10-08,1,-0.24290000000000012,1,2018-10-08,0,0,1
2018-11-01,2018-11-01,1,0.1860999999999997,1,2018-11-01,0,0,1
2018-12-03,2018-12-03,1,-0.38160000000000016,1,2018-12-03,0,0,1
2019-01-02,2019-01-02,1,-0.5434999999999999,1,2019-01-02,0,0,1
2019-01-04,2019-01-04,1,0.028500000000000192,1,2019-01-04,1,0,0
2019-02-01,2019-02-01,1,-1.5571000000000002,1,2019-02-01,0,0,1
2019-03-01,2019-03-01,1,-0.2088000000000001,1,2019-03-01,0,0,1
2019-04-01,2019-04-01,1,-0.9607000000000001,1,2019-04-01,0,0,1
2019-05-05,2019-05-05,1,0.11030000000000006,1,2019-05-05,0,0,1
2019-06-03,2019-06-03,1,-0.9590999999999998,1,2019-06-03,0,0,1
2019-07-01,2019-07-01,1,-0.9106000000000001,1,2019-07-01,0,0,1
2019-08-01,2019-08-01,1,-0.1640999999999999,1,2019-08-01,0,0,1
2019-08-20,2019-08-20,1,0.0484,1,2019-08-20,0,1,0
2019-09-02,2019-09-02,1,-0.8855999999999997,1,2019-09-02,0,0,1
2019-09-06,2019-09-06,1,-0.1634000000000002,1,2019-09-06,1,0,0
2019-09-20,2019-09-20,1,0.1397999999999997,1,2019-09-20,0,1,0
2019-10-08,2019-10-08,1,-0.5200999999999998,1,2019-10-08,0,0,1
2019-10-21,2019-10-21,1,0.2957000000000001,1,2019-10-21,0,1,0
2019-11-01,2019-11-01,1,0.4674999999999998,1,2019-11-01,0,0,1
2019-11-20,2019-11-20,1,-0.3592000000000004,1,2019-11-20,0,1,0
2019-12-02,2019-12-02,1,-0.4708000000000001,1,2019-12-02,0,0,1
2019-12-20,2019-12-20,1,0.33219999999999983,1,2019-12-20,0,1,0
2020-01-01,2020-01-01,1,-0.10799999999999965,1,2020-01-02,1,0,0
2020-01-02,2020-01-02,1,-0.10799999999999965,1,2020-01-02,0,0,1
2020-01-20,2020-01-20,1,0.6417999999999999,1,2020-01-20,0,1,0
2020-02-03,2020-02-03,1,-0.11169999999999991,1,2020-02-03,0,0,1
2020-02-20,2020-02-20,1,0.21479999999999988,1,2020-02-20,0,1,0
2020-03-02,2020-03-02,1,-0.4096000000000002,1,2020-03-02,0,0,1
2020-03-20,2020-03-20,1,0.1149,1,2020-03-20,0,1,0
2020-04-01,2020-04-01,1,-0.27380000000000004,1,2020-04-01,0,0,1
2020-04-03,2020-04-03,1,0.11719999999999997,1,2020-04-03,1,0,0
2020-04-20,2020-04-20,1,0.44700000000000006,1,2020-04-20,0,1,0
2020-05-06,2020-05-06,1,-0.25960000000000005,1,2020-05-06,0,0,1
2020-05-20,2020-05-20,1,0.034399999999999986,1,2020-05-20,0,1,0
2020-06-01,2020-06-01,1,-0.5507999999999997,1,2020-06-01,0,0,1
2020-06-22,2020-06-22,1,0.19600000000000017,1,2020-06-22,0,1,0
2020-07-01,2020-07-01,1,-0.4285000000000001,1,2020-07-01,0,0,1
2020-07-20,2020-07-20,1,-0.1979000000000002,1,2020-07-20,0,1,0
2020-08-03,2020-08-03,1,-0.18920000000000003,1,2020-08-03,0,0,1
2020-08-20,2020-08-20,1,-0.09550000000000036,1,2020-08-20,0,1,0
2020-08-31,2020-08-31,1,-0.014699999999999935,1,2020-08-31,0,1,0
2020-09-01,2020-09-01,1,-0.25349999999999984,1,2020-09-01,0,0,1
2020-09-21,2020-09-21,1,0.05610000000000026,1,2020-09-21,0,1,0
2020-10-09,2020-10-09,1,-0.6203000000000003,1,2020-10-09,0,0,1
2020-10-20,2020-10-20,1,0.024299999999999766,1,2020-10-20,0,1,0
2020-11-02,2020-11-02,1,-0.7391999999999999,1,2020-11-02,0,0,1
2020-11-20,2020-11-20,1,0.033800000000000274,1,2020-11-20,0,1,0
2020-12-01,2020-12-01,1,-0.3279000000000001,1,2020-12-01,0,0,1
2020-12-21,2020-12-21,1,-0.11249999999999982,1,2020-12-21,0,1,0
2021-01-04,2021-01-04,1,-0.4288000000000003,1,2021-01-04,0,0,1
2021-01-20,2021-01-20,1,-0.13569999999999993,1,2021-01-20,0,1,0
