n_sentences,mean_len,p50_len,p90_len,share_short,share_long,dup_ratio,share_page,share_toc,share_tablefig,share_digit,share_policy_terms,share_econ_num,keyword_group_count,has_rates,has_reserve,has_credit,has_fx,has_inflation,has_growth,has_property,year,quarter,flags
319,51.11912225705329,43.0,93.0,0.003134796238244514,0.02821316614420063,0.0,0.0,0.0,0.0,0.5579937304075235,0.5109717868338558,0.47335423197492166,7,1,1,1,1,1,1,1,2001,1,LOW_N
282,64.91489361702128,52.0,117.80000000000001,0.0,0.09929078014184398,0.0,0.0,0.0,0.0,0.6985815602836879,0.5531914893617021,0.6205673758865248,7,1,1,1,1,1,1,1,2001,2,LOW_N
329,57.9483282674772,50.0,101.0,0.00303951367781155,0.06382978723404255,0.0,0.0,0.0,0.0,0.5562310030395137,0.44680851063829785,0.45288753799392095,6,1,0,1,1,1,1,1,2001,3,
272,55.19485294117647,50.0,91.9,0.003676470588235294,0.04044117647058824,0.0,0.0,0.0,0.0,0.5698529411764706,0.48161764705882354,0.4889705882352941,7,1,1,1,1,1,1,1,2001,4,LOW_N
240,48.0625,42.0,82.0,0.004166666666666667,0.041666666666666664,0.0,0.0,0.0,0.0,0.5041666666666667,0.5208333333333334,0.44166666666666665,6,1,0,1,1,1,1,1,2002,1,LOW_N
241,51.01244813278009,45.0,90.0,0.0,0.029045643153526972,0.0,0.0,0.0,0.0,0.5311203319502075,0.4315352697095436,0.4605809128630705,6,1,0,1,1,1,1,1,2002,2,LOW_N
283,57.83745583038869,51.0,98.80000000000001,0.007067137809187279,0.053003533568904596,0.0035335689045936395,0.0,0.0,0.0,0.5229681978798587,0.5123674911660777,0.4628975265017668,7,1,1,1,1,1,1,1,2002,3,LOW_N
370,55.81891891891892,48.5,103.10000000000002,0.0,0.04864864864864865,0.0,0.0,0.0,0.002702702702702703,0.5459459459459459,0.5297297297297298,0.4243243243243243,7,1,1,1,1,1,1,1,2002,4,
346,54.421965317919074,47.0,95.0,0.002890173410404624,0.04335260115606936,0.011560693641618497,0.0,0.0,0.0,0.523121387283237,0.48265895953757226,0.4479768786127168,6,1,0,1,1,1,1,1,2003,1,HIGH_DUP
341,55.618768328445746,47.0,99.0,0.0,0.04398826979472141,0.002932551319648094,0.0,0.0,0.002932551319648094,0.4780058651026393,0.4281524926686217,0.4252199413489736,6,1,0,1,1,1,1,1,2003,2,
404,55.41831683168317,48.0,95.0,0.0,0.04207920792079208,0.0,0.0,0.0,0.0,0.5,0.5643564356435643,0.4405940594059406,7,1,1,1,1,1,1,1,2003,3,
369,58.883468834688344,50.0,99.19999999999999,0.0027100271002710027,0.051490514905149054,0.008130081300813009,0.0,0.0,0.0,0.5582655826558266,0.4986449864498645,0.4986449864498645,7,1,1,1,1,1,1,1,2003,4,
438,56.48858447488585,48.0,96.90000000000003,0.00228310502283105,0.0502283105022831,0.00228310502283105,0.0,0.0,0.0,0.4954337899543379,0.4246575342465753,0.4429223744292237,7,1,1,1,1,1,1,1,2004,1,
455,54.16263736263736,47.0,100.0,0.01098901098901099,0.04395604395604396,0.008791208791208791,0.0,0.0,0.0,0.46153846153846156,0.4857142857142857,0.41318681318681316,7,1,1,1,1,1,1,1,2004,2,
431,55.52900232018561,49.0,98.0,0.002320185614849188,0.04408352668213457,0.0,0.0,0.0,0.0,0.5220417633410673,0.4709976798143852,0.45011600928074247,7,1,1,1,1,1,1,1,2004,3,
479,61.782881002087684,57.0,109.39999999999998,0.0,0.06471816283924843,0.0,0.0,0.0,0.0,0.511482254697286,0.42588726513569936,0.40083507306889354,7,1,1,1,1,1,1,1,2004,4,
385,56.750649350649354,50.0,103.0,0.0,0.06233766233766234,0.0,0.0,0.0,0.0,0.5142857142857142,0.5012987012987012,0.4701298701298701,7,1,1,1,1,1,1,1,2005,1,
469,56.06183368869936,49.0,100.19999999999999,0.0021321961620469083,0.05970149253731343,0.0042643923240938165,0.0,0.0,0.0,0.5053304904051172,0.44776119402985076,0.4520255863539446,7,1,1,1,1,1,1,1,2005,2,
496,59.006048387096776,52.0,107.5,0.004032258064516129,0.06653225806451613,0.0,0.0,0.0,0.0,0.5362903225806451,0.4939516129032258,0.46975806451612906,7,1,1,1,1,1,1,1,2005,3,
587,56.73253833049404,49.0,104.0,0.0,0.05281090289608177,0.0,0.0,0.0,0.0,0.49233390119250425,0.4735945485519591,0.44122657580919933,7,1,1,1,1,1,1,1,2005,4,
499,55.46492985971944,49.0,97.19999999999999,0.004008016032064128,0.04609218436873747,0.0,0.0,0.0,0.0,0.46893787575150303,0.4589178356713427,0.40480961923847697,7,1,1,1,1,1,1,1,2006,1,
473,59.904862579281186,51.0,106.0,0.0,0.05496828752642706,0.0,0.0,0.0,0.0,0.4989429175475687,0.4608879492600423,0.45454545454545453,7,1,1,1,1,1,1,1,2006,2,
