year,quarter,topic,total_sentences_quarter,n_target,n_selected,coverage_selected,tau_used,avg_weight_selected,avg_top_score_selected,avg_gap_selected,note,n_top1,n_conf_ge_0_50,n_eligible
2018,4,all,684,80,137,0.200292,,,,,tone_all: topK=137 trim=0.1,,,
2018,4,macro,684,80,80,0.116959,0.5,0.583664,0.946555,0.213725,,125.0,115.0,115.0
2018,4,policy,684,80,80,0.116959,0.5,0.997973,0.997973,0.308828,,559.0,551.0,550.0
2019,1,all,657,79,131,0.199391,,,,,tone_all: topK=131 trim=0.1,,,
2019,1,macro,657,79,79,0.120244,0.5,0.61174,0.956973,0.236388,,140.0,135.0,135.0
2019,1,policy,657,79,79,0.120244,0.5,0.997473,0.997473,0.332058,,517.0,506.0,505.0
2019,2,all,633,76,127,0.200632,,,,,tone_all: topK=127 trim=0.1,,,
2019,2,macro,633,76,76,0.120063,0.5,0.61145,0.961774,0.238451,,128.0,125.0,125.0
2019,2,policy,633,76,76,0.120063,0.5,0.997645,0.997645,0.316488,,505.0,502.0,502.0
2019,3,all,548,66,110,0.20073,,,,,tone_all: topK=110 trim=0.1,,,
2019,3,macro,548,66,66,0.120438,0.5,0.462061,0.968843,0.149624,,96.0,91.0,91.0
2019,3,policy,548,66,66,0.120438,0.5,0.997698,0.997698,0.304647,,452.0,446.0,446.0
2019,4,all,580,70,116,0.2,,,,,tone_all: topK=116 trim=0.1,,,
2019,4,macro,580,70,70,0.12069,0.5,0.610441,0.954873,0.199481,,130.0,125.0,125.0
2019,4,policy,580,70,70,0.12069,0.5,0.997872,0.997872,0.410694,,450.0,445.0,445.0
2020,1,all,568,68,114,0.200704,,,,,tone_all: topK=114 trim=0.1,,,
2020,1,macro,568,68,68,0.119718,0.5,0.397409,0.967435,0.118444,,90.0,82.0,82.0
2020,1,policy,568,68,68,0.119718,0.5,0.998067,0.998067,0.383966,,478.0,472.0,472.0
2020,2,all,548,66,110,0.20073,,,,,tone_all: topK=110 trim=0.1,,,
2020,2,macro,548,66,66,0.120438,0.5,0.554792,0.954715,0.208208,,95.0,88.0,88.0
2020,2,policy,548,66,66,0.120438,0.5,0.998001,0.998001,0.383323,,453.0,448.0,448.0
2020,3,all,578,69,116,0.200692,,,,,tone_all: topK=116 trim=0.1,,,
2020,3,macro,578,69,69,0.119377,0.5,0.582476,0.953149,0.205433,,131.0,128.0,128.0
2020,3,policy,578,69,69,0.119377,0.5,0.995907,0.995907,0.427912,,447.0,439.0,439.0
2020,4,all,621,75,124,0.199678,,,,,tone_all: topK=124 trim=0.1,,,
2020,4,macro,621,75,75,0.120773,0.5,0.50975,0.969289,0.168677,,115.0,111.0,111.0
2020,4,policy,621,75,75,0.120773,0.5,0.997797,0.997797,0.338637,,506.0,496.0,496.0
2021,1,all,518,62,104,0.200772,,,,,tone_all: topK=104 trim=0.1,,,
2021,1,macro,518,62,62,0.119691,0.5,0.542275,0.964136,0.146565,,109.0,103.0,103.0
2021,1,policy,518,62,62,0.119691,0.5,0.997854,0.997854,0.360862,,409.0,401.0,401.0
2021,2,all,548,66,110,0.20073,,,,,tone_all: topK=110 trim=0.1,,,
2021,2,macro,548,66,66,0.120438,0.5,0.600283,0.960835,0.253496,,110.0,103.0,103.0
2021,2,policy,548,66,66,0.120438,0.5,0.998918,0.998918,0.305925,,438.0,434.0,434.0
2021,3,all,544,65,109,0.200368,,,,,tone_all: topK=109 trim=0.1,,,
2021,3,macro,544,65,65,0.119485,0.5,0.622993,0.969499,0.269228,,107.0,103.0,103.0
2021,3,policy,544,65,65,0.119485,0.5,0.998349,0.998349,0.310066,,437.0,429.0,429.0
2021,4,all,634,76,127,0.200315,,,,,tone_all: topK=127 trim=0.1,,,
2021,4,macro,634,76,76,0.119874,0.5,0.637112,0.970994,0.259442,,122.0,118.0,118.0
2021,4,policy,634,76,76,0.119874,0.5,0.998228,0.998247,0.361345,,512.0,498.0,498.0
2022,1,all,539,65,108,0.200371,,,,,tone_all: topK=108 trim=0.1,,,
2022,1,macro,539,65,65,0.120594,0.5,0.523655,0.973633,0.186919,,91.0,81.0,81.0
2022,1,policy,539,65,65,0.120594,0.5,0.997876,0.997876,0.375825,,448.0,435.0,435.0
2022,2,all,539,65,108,0.200371,,,,,tone_all: topK=108 trim=0.1,,,
2022,2,macro,539,65,65,0.120594,0.5,0.658748,0.965048,0.286584,,111.0,103.0,103.0
2022,2,policy,539,65,65,0.120594,0.5,0.997604,0.997613,0.346117,,428.0,423.0,423.0
2022,3,all,537,64,107,0.199255,,,,,tone_all: topK=107 trim=0.1,,,
2022,3,macro,537,64,64,0.119181,0.5,0.651326,0.94918,0.302994,,106.0,99.0,99.0
2022,3,policy,537,64,64,0.119181,0.5,0.997703,0.997703,0.327643,,431.0,423.0,423.0
2022,4,all,615,74,123,0.2,,,,,tone_all: topK=123 trim=0.1,,,
2022,4,macro,615,74,74,0.120325,0.5,0.578027,0.961823,0.22784,,134.0,121.0,121.0
2022,4,policy,615,74,74,0.120325,0.5,0.996826,0.996826,0.375414,,481.0,472.0,472.0
2023,1,all,567,68,113,0.199295,,,,,tone_all: topK=113 trim=0.1,,,
2023,1,macro,567,68,68,0.119929,0.5,0.651391,0.960918,0.283334,,116.0,111.0,111.0
2023,1,policy,567,68,68,0.119929,0.5,0.997647,0.997647,0.331183,,451.0,445.0,445.0
2023,2,all,558,67,112,0.200717,,,,,tone_all: topK=112 trim=0.1,,,
2023,2,macro,558,67,67,0.120072,0.5,0.728175,0.953842,0.317974,,132.0,125.0,125.0
2023,2,policy,558,67,67,0.120072,0.5,0.996857,0.996857,0.277198,,426.0,419.0,419.0
2023,3,all,530,64,106,0.2,,,,,tone_all: topK=106 trim=0.1,,,
2023,3,macro,530,64,64,0.120755,0.5,0.601763,0.96722,0.196129,,93.0,84.0,84.0
2023,3,policy,530,64,64,0.120755,0.5,0.998142,0.998142,0.347841,,437.0,433.0,433.0
2023,4,all,638,77,128,0.200627,,,,,tone_all: topK=128 trim=0.1,,,
2023,4,macro,638,77,77,0.12069,0.5,0.650442,0.963241,0.22681,,122.0,111.0,111.0
2023,4,policy,638,77,77,0.12069,0.5,0.998021,0.998021,0.361994,,516.0,509.0,508.0
2024,1,all,583,70,117,0.200686,,,,,tone_all: topK=117 trim=0.1,,,
2024,1,macro,583,70,70,0.120069,0.5,0.793188,0.955556,0.340136,,131.0,122.0,122.0
2024,1,policy,583,70,70,0.120069,0.5,0.996203,0.996203,0.357641,,452.0,450.0,450.0
2024,2,all,629,75,126,0.200318,,,,,tone_all: topK=126 trim=0.1,,,
2024,2,macro,629,75,75,0.119237,0.5,0.728961,0.925548,0.344823,,134.0,125.0,125.0
2024,2,policy,629,75,75,0.119237,0.5,0.997978,0.998023,0.361587,,495.0,487.0,487.0
2024,3,all,604,72,121,0.200331,,,,,tone_all: topK=121 trim=0.1,,,
2024,3,macro,604,72,72,0.119205,0.5,0.612647,0.945721,0.29012,,110.0,108.0,108.0
2024,3,policy,604,72,72,0.119205,0.5,0.998157,0.998157,0.34363,,494.0,482.0,482.0
2024,4,all,585,70,117,0.2,,,,,tone_all: topK=117 trim=0.1,,,
2024,4,macro,585,70,70,0.119658,0.5,0.734717,0.953689,0.300381,,112.0,106.0,106.0
2024,4,policy,585,70,70,0.119658,0.5,0.998369,0.998369,0.359265,,473.0,461.0,461.0
