date,SH,SZ,HS300,CSI500,usdcny_mid,usdcny_chg,fx_ret,shibor_1w,ib_7d,short_rate,short_rate_chg,ib_minus_shibor,S_gdp,D_gdp,GDPForecastAvailEvent,S_policy,D_policy,D_report,ToneAllEvent_raw,ToneAllEvent_z,ReadabilityEvent,SimilarityEvent,PolicySurpriseEvent
2005-09-27,-1.905418878707384,-1.7730472927643268,-1.5669382980176914,-2.064976943159864,8.0929,0.0019000000000009,0.0002348012541759,,1.1788,1.1788,-0.0050999999999998,,0.11666666666666675,1,1,-0.001271428571428586,1,1,0.5772259507205185,-0.2877811294287054,20.154236298178304,0.2472899540404302,0.7527100459595698
2005-09-28,-0.1298007696558442,0.0959175393570712,-0.0542056398198857,-0.5382270265034139,8.092,-0.0008999999999996,-0.0001112147743794,,1.1751,1.1751,-0.0037,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-09-29,2.0741717507544473,1.2941088210608562,1.3474952473367563,2.196589927048058,8.0939,0.0018999999999991,0.0002347722411143,,1.1626,1.1626,-0.0124999999999999,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-09-30,0.0103846653202034,0.6379000717818144,0.1538151358421189,-0.204503747743148,8.093,-0.0008999999999996,-0.0001112010330485,,1.1557,1.1557,-0.0069000000000001,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-10-10,-1.4521557740612574,-1.5450581667769292,-1.103748237487063,-1.2451991054208844,8.0876,-0.0053999999999998,-0.0006674660025561,,1.1407,1.1407,-0.0059,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-10-11,1.588786718872379,0.9875514724161192,1.3574076535621389,2.2874651233402052,8.0864,-0.0012000000000007,-0.0001483862992707,,1.1394,1.1394,-0.0013,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-10-12,0.4018909783545656,0.1467590404250799,0.4090695316536842,1.0292618307889154,8.0879,0.0015,0.0001854794339539,,1.1335,1.1335,-0.0059,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-10-13,-0.7984626297906015,-0.7251577807389105,-0.7597903930577421,-0.4810416015191318,8.0895,0.0015999999999998,0.0001978068175624,,1.1276,1.1276,-0.0059,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-10-14,-1.1395488384375383,-1.3878294975433998,-1.2814986528839718,-0.8411530129562672,8.0885,-0.0009999999999994,-0.0001236246756426,,1.1216,1.1216,-0.006,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-10-17,-0.7195321078599634,-1.1290161739753437,-0.8000264590791413,0.3088655927882213,8.0896,0.0011000000000009,0.0001359863026802,,1.1187,1.1187,-0.0028999999999999,,0.0,0,0,-0.2280999999999999,1,0,0.0,0.0,0.0,0.0,0.0
2005-10-18,0.8642213800604353,-0.1526720583158207,0.5277819350198132,1.6858325526367748,8.0877,-0.0019000000000009,-0.000234897048177,,1.1175,1.1175,-0.0012,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-10-19,-0.5791360806888943,-0.8653613353036499,-0.4030853101644151,-0.8303371845311441,8.091,0.0032999999999994,0.0004079437835877,,1.1169,1.1169,-0.0005999999999999,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-10-20,0.1180325695485348,-0.3079850755571474,0.1312088075887879,0.027074896096271,8.0924,0.0014000000000002,0.0001730167954191,,1.1165,1.1165,-0.0003999999999999,,0.0,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-10-21,0.4716182054352884,0.4951318636751074,0.4976926912516271,0.951971176316275,8.0905,-0.0018999999999991,-0.0002348157633958,,1.1163,1.1163,-0.0001999999999999,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-10-24,-0.013143540625883,0.4801446780469099,0.2473690702947961,0.3045534736501509,8.0885,-0.0020000000000006,-0.0002472340701141,,1.1148,1.1148,-0.0015,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-10-25,-1.7012548583220588,-1.5973856863715334,-1.3748745100575106,-2.2734652727030698,8.0916,0.0030999999999998,0.0003831867587878,,1.1147,1.1147,-9.9999999999989e-05,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-10-26,-2.2316480328479487,-3.0399343668488075,-2.084715262891769,-2.720179729844282,8.0901,-0.0015,-0.0001853946129635,,1.1147,1.1147,0.0,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-10-27,0.0564935730807644,0.1815992484691474,0.0034253027114676,-0.7569293670574527,8.0867,-0.0033999999999991,-0.0004203550825952,,1.1159,1.1159,0.0011999999999998,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-10-28,-1.5523686307057174,-1.3628811765833542,-0.9314237034308228,-2.6940917343705526,8.0862,-0.0005000000000006,-6.183182980905987e-05,,1.1172,1.1172,0.0013,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-10-31,1.0995238871508706,1.1625028674627602,0.980506820395072,0.4353827354983971,8.084,-0.0022000000000002,-0.0002721054796569,,1.1186,1.1186,0.0014,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-11-01,-0.2629687648170585,-0.0255451831814164,-0.3899041614555478,-0.6452845955170502,8.0845,0.0005000000000006,6.184865635772289e-05,,1.1166,1.1166,-0.002,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-11-02,1.352344803067347,1.128634190875012,1.0949492708383113,2.0425679311654976,8.086,0.0015,0.0001855230208469,,1.1151,1.1151,-0.0015,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-11-03,-0.8654363443734353,-0.6055103001460771,-0.899235454038908,-1.3671186968222555,8.0851,-0.0008999999999996,-0.000111309682202,,1.1131,1.1131,-0.002,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-11-04,0.4354725100526325,0.427033108998381,0.4312761257053479,0.746384239388882,8.0841,-0.0010000000000012,-0.0001236919577068,,1.1102,1.1102,-0.0028999999999999,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-11-07,0.0545281060450611,-0.0275435953577167,-0.1230320722052449,0.8204587142283858,8.0856,0.0015,0.0001855321996453,,1.1077,1.1077,-0.0025000000000001,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-11-08,0.8594226952244856,0.2609870653353287,0.4821478523783192,0.8243835755654483,8.0877,0.0021000000000004,0.0002596872637991,,1.1071,1.1071,-0.0005999999999999,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-11-09,-0.1803183105902315,0.3635754439078374,-0.257841882542965,-0.4557053598371881,8.0867,-0.0009999999999994,-0.0001236521912743,,1.1052,1.1052,-0.0019,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-11-10,-1.8075112503666997,-1.5952786740603102,-1.8689343331438968,-2.8614873777078027,8.0857,-0.0010000000000012,-0.0001236674830298,,1.1037,1.1037,-0.0015,,0.0,0,0,0.0,0,1,0.5972861010493415,0.0950220821686316,19.768342391304348,0.2417050115566335,0.7582949884433665
2005-11-11,0.1744319928164579,0.1397346021620829,0.2106774868236868,0.3270062419337017,8.0847,-0.0009999999999994,-0.0001236827785675,,1.1044,1.1044,0.0007000000000001,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-11-14,-0.1422769131852519,-1.1473007526646462,-0.3057433444749048,0.4371710776651008,8.0856,0.0008999999999996,0.0001113151890724,,1.1073,1.1073,0.0028999999999999,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-11-15,-0.1047717175467505,-0.4425686820483696,-0.6411509114152953,-0.8591973053076953,8.0831,-0.0024999999999995,-0.0003092394589449,,1.11,1.11,0.0027000000000001,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-11-16,0.7676139184696857,0.6640678357883524,0.7535970911096925,0.7528053133586783,8.0845,0.0014000000000002,0.0001731858783616,,1.1133,1.1133,0.0032999999999998,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-11-17,-0.0529390300790202,0.1344048058007151,-0.0533092295534676,-0.107716244703947,8.0835,-0.0009999999999994,-0.0001237011382081,,1.116,1.116,0.0027000000000001,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-11-18,1.9609091862433627,2.938559074850115,2.2443488887881955,2.149177681266422,8.0845,0.0009999999999994,0.0001237011382081,,1.1182,1.1182,0.0021999999999999,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-11-21,0.2628592356367832,0.3992943414607702,0.1845865164473134,0.3809077770470365,8.0832,-0.0013000000000005,-0.000160814463752,,1.1306,1.1306,0.0123999999999999,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-11-22,-1.918385704389116,-1.6797442914935945,-1.6253658377343332,-1.809750773882627,8.0833,9.999999999976694e-05,1.2371261559588882e-05,,1.1492,1.1492,0.0185999999999999,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-11-23,0.6432582366758666,0.6986448655880755,0.7572278929377911,0.7605328024609234,8.0839,0.0006000000000003,7.422435551935519e-05,,1.1766,1.1766,0.0274,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-11-24,0.686761414362008,0.3953623891296411,0.5985043922148713,0.4262367896623147,8.0816,-0.0022999999999999,-0.0002845566194079,,1.2091,1.2091,0.0324999999999999,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-11-25,0.139120154916536,0.3035729086539732,0.2967831811379005,-0.0677430307040308,8.0805,-0.0010999999999992,-0.0001361209250898,,1.2402,1.2402,0.0310999999999999,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-11-28,-0.3684172129254327,-0.4254816984216315,-0.4466418652238041,-0.3322479790097106,8.0815,0.0009999999999994,0.0001237470611651,,1.2686,1.2686,0.0283999999999999,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-11-29,-1.2528415848568455,-1.1631831050254822,-1.0117244358670432,-1.360695927138008,8.0825,0.0009999999999994,0.0001237317497248,,1.2974,1.2974,0.0288000000000001,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-11-30,0.2067160667809236,-0.1963068091262948,0.2888022452687342,0.3006322781486178,8.0796,-0.0029000000000003,-0.0003588642603526,,1.3246,1.3246,0.0271999999999998,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-12-01,-0.0464056131821282,0.2876111065846079,-0.0870112826091291,-0.1580512970097644,8.0804,0.0007999999999999,9.900990107088048e-05,,1.36,1.36,0.0354000000000001,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-12-02,-0.4067418878646233,-0.1461269178235232,-0.3591492147997346,-1.255142384959488,8.0798,-0.0005999999999986,-7.425650676033662e-05,,1.4125,1.4125,0.0524999999999999,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005-12-05,-1.388572522719437,-1.3789125382159264,-1.1945445734646276,-2.59243272379162,8.0806,0.0007999999999999,9.90074503913991e-05,,1.4617,1.4617,0.0491999999999999,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
