date,usdcny_mid,usdcny_chg,fx_ret,shibor_1w,ib_7d,short_rate,short_rate_chg,ib_minus_shibor
1985-01-01,,,,,,,,
1987-01-01,,,,,,,,
1988-01-01,,,,,,,,
1994-01-01,8.7,,,,,,,
1994-01-03,8.7,0.0,0.0,,,,,
1994-01-04,8.7,0.0,0.0,,,,,
1994-01-05,8.7,0.0,0.0,,,,,
1994-01-06,8.7,0.0,0.0,,,,,
1994-01-07,8.69,-0.009999999999999787,-0.0011500863832373297,,,,,
1994-01-08,8.7,0.009999999999999787,0.00115008638323731,,,,,
1994-01-10,8.7,0.0,0.0,,,,,
1994-01-11,8.7,0.0,0.0,,,,,
1994-01-12,8.7,0.0,0.0,,,,,
1994-01-13,8.7,0.0,0.0,,,,,
1994-01-14,8.7,0.0,0.0,,,,,
1994-01-15,8.7,0.0,0.0,,,,,
1994-01-17,8.7,0.0,0.0,,,,,
1994-01-18,8.7,0.0,0.0,,,,,
1994-01-19,8.7,0.0,0.0,,,,,
1994-01-20,8.7,0.0,0.0,,,,,
1994-01-21,8.7,0.0,0.0,,,,,
1994-01-22,8.7,0.0,0.0,,,,,
1994-01-24,8.7,0.0,0.0,,,,,
1994-01-25,8.71,0.010000000000001563,0.0011487652038735803,,,,,
1994-01-26,8.7,-0.010000000000001563,-0.001148765203873593,,,,,
1994-01-27,8.7,0.0,0.0,,,,,
1994-01-28,8.7,0.0,0.0,,,,,
1994-01-29,8.7,0.0,0.0,,,,,
1994-01-31,8.7,0.0,0.0,,,,,
1994-02-01,8.6994,-0.0005999999999986017,-6.896789547185498e-05,,,,,
1994-02-02,8.701,0.0015999999999998238,0.0001839038188213061,,,,,
1994-02-03,8.7034,0.0023999999999997357,0.0002757923301248796,,,,,
1994-02-04,8.701,-0.0023999999999997357,-0.0002757923301247692,,,,,
1994-02-05,8.7005,-0.0005000000000006111,-5.746631039140463e-05,,,,,
1994-02-07,8.7005,0.0,0.0,,,,,
1994-02-08,8.7074,0.006899999999999906,0.0007927435660078576,,,,,
1994-02-09,8.7074,0.0,0.0,,,,,
1994-02-15,8.7074,0.0,0.0,,,,,
1994-02-16,8.7024,-0.004999999999999005,-0.000574389152944538,,,,,
1994-02-17,8.7065,0.004099999999999326,0.00047102345074095226,,,,,
1994-02-18,8.702,-0.0045000000000001705,-0.0005169888388119743,,,,,
1994-02-19,8.6988,-0.0031999999999996476,-0.0003677991857930281,,,,,
1994-02-21,8.6988,0.0,0.0,,,,,
1994-02-22,8.6995,0.000700000000000145,8.046763193847761e-05,,,,,
1994-02-23,8.6966,-0.0029000000000003467,-0.0003334080658152518,,,,,
1994-02-24,8.7022,0.005599999999999383,0.0006437225778072736,,,,,
1994-02-25,8.6947,-0.007500000000000284,-0.0008622226333016314,,,,,
1994-02-26,8.7044,0.009700000000000486,0.0011150003166761988,,,,,
1994-02-28,8.7044,0.0,0.0,,,,,
1994-03-01,8.702,-0.0023999999999997357,-0.0002757606415121653,,,,,
1994-03-02,8.705,0.0030000000000001137,0.0003446889216640609,,,,,
1994-03-03,8.706,0.0009999999999994458,0.000114869909953369,,,,,
1994-03-04,8.7062,0.00020000000000131024,2.297239866424643e-05,,,,,
1994-03-05,8.7066,0.00039999999999906777,4.594321419517797e-05,,,,,
1994-03-07,8.7066,0.0,0.0,,,,,
1994-03-08,8.705,-0.0015999999999998238,-0.00018378552281274956,,,,,
1994-03-09,8.7038,-0.001200000000000756,-0.00013786131173899356,,,,,
1994-03-10,8.7003,-0.0034999999999989484,-0.0004022040837711773,,,,,
1994-03-11,8.7038,0.0034999999999989484,0.00040220408377111036,,,,,
1994-03-12,8.7005,-0.0032999999999994145,-0.000379216634917305,,,,,
1994-03-14,8.7005,0.0,0.0,,,,,
1994-03-15,8.7,-0.0005000000000006111,-5.74696129580074e-05,,,,,
1994-03-16,8.7007,0.000700000000000145,8.045653340126117e-05,,,,,
1994-03-17,8.7002,-0.0004999999999988347,-5.746829188566557e-05,,,,,
1994-03-18,8.6991,-0.001100000000000989,-0.0001264418685196392,,,,,
1994-03-19,8.6992,9.999999999976694e-05,1.1495375985053454e-05,,,,,
1994-03-21,8.6992,0.0,0.0,,,,,
1994-03-22,8.6978,-0.0013999999999985135,-0.00016094729010986985,,,,,
1994-03-23,8.6993,0.0014999999999982805,0.00017244253395286538,,,,,
1994-03-24,8.7055,0.006200000000001538,0.0007124471711540965,,,,,
1994-03-25,8.7012,-0.004300000000000637,-0.0004940626411059248,,,,,
1994-03-26,8.7016,0.00039999999999906777,4.5969614092980554e-05,,,,,
1994-03-28,8.7016,0.0,0.0,,,,,
1994-03-29,8.7024,0.0008000000000016882,9.193288905588402e-05,,,,,
1994-03-30,8.7002,-0.002200000000000202,-0.00025283578450576783,,,,,
1994-03-31,8.708,0.007799999999999585,0.0008961294702475071,,,,,
1994-04-01,8.6987,-0.009299999999999642,-0.0010685541641897345,,,,,
1994-04-04,8.6988,9.999999999976694e-05,1.1495904584136479e-05,,,,,
1994-04-05,8.6967,-0.002100000000000435,-0.0002414417533502489,,,,,
1994-04-06,8.6999,0.0031999999999996476,0.00036788798225980215,,,,,
1994-04-07,8.6982,-0.0016999999999995907,-0.00019542363883524668,,,,,
1994-04-08,8.6999,0.0016999999999995907,0.00019542363883535285,,,,,
1994-04-11,8.7001,0.00020000000000131024,2.2988505748353384e-05,,,,,
1994-04-12,8.6991,-0.0010000000000012221,-0.00011494781381931822,,,,,
1994-04-13,8.6992,9.999999999976694e-05,1.1495375985053454e-05,,,,,
1994-04-14,8.6982,-0.0009999999999994458,-0.00011495970674933322,,,,,
1994-04-15,8.6971,-0.0010999999999992127,-0.00012647094346928688,,,,,
1994-04-18,8.6961,-0.0010000000000012221,-0.00011498746649295484,,,,,
1994-04-19,8.6952,-0.0008999999999996788,-0.00010350002596736806,,,,,
1994-04-20,8.6945,-0.000700000000000145,-8.050742685366832e-05,,,,,
1994-04-21,8.6937,-0.0007999999999999119,-9.201642499675161e-05,,,,,
1994-04-22,8.6925,-0.0011999999999989797,-0.0001380405151102508,,,,,
1994-04-25,8.6925,0.0,0.0,,,,,
1994-04-26,8.6909,-0.0016000000000016001,-0.00018408366654621732,,,,,
1994-04-27,8.6894,-0.0015000000000000568,-0.00017260921891151573,,,,,
1994-04-28,8.6877,-0.0016999999999995907,-0.00019565980577005522,,,,,
1994-04-29,8.6872,-0.0004999999999988347,-5.755428809793933e-05,,,,,
1994-05-03,8.6847,-0.002500000000001279,-0.000287821138420117,,,,,
1994-05-04,8.6784,-0.006299999999999528,-0.000725676898303706,,,,,
1994-05-05,8.6736,-0.004799999999999471,-0.0005532503598932167,,,,,
1994-05-06,8.6682,-0.005399999999999849,-0.0006227727426830938,,,,,
1994-05-09,8.6664,-0.001800000000001134,-0.00020767713203315532,,,,,
1994-05-10,8.6653,-0.0010999999999992127,-0.00012693503827971135,,,,,
1994-05-11,8.664,-0.001300000000000523,-0.00015003491225145638,,,,,
1994-05-12,8.6629,-0.0010999999999992127,-0.00012697020257256434,,,,,
1994-05-13,8.662,-0.0008999999999996788,-0.00010389670368186657,,,,,
1994-05-16,8.661,-0.0010000000000012221,-0.00011545344352729586,,,,,
1994-05-17,8.6606,-0.00039999999999906777,-4.618510992871503e-05,,,,,
1994-05-18,8.6607,9.999999999976694e-05,1.1546477458451164e-05,,,,,
1994-05-19,8.6605,-0.00019999999999953388,-2.3093088239714035e-05,,,,,
1994-05-20,8.6604,-0.0001000000000015433,-1.1546744107134316e-05,,,,,
1994-05-23,8.6602,-0.00019999999999953388,-2.309388820340895e-05,,,,,
1994-05-24,8.6604,0.00019999999999953388,2.30938882034519e-05,,,,,
1994-05-25,8.6602,-0.00019999999999953388,-2.309388820340895e-05,,,,,
1994-05-26,8.6602,0.0,0.0,,,,,
1994-05-27,8.66,-0.00019999999999953388,-2.3094421543441168e-05,,,,,
1994-05-30,8.6598,-0.00019999999999953388,-2.3094954908121193e-05,,,,,
1994-05-31,8.6597,-9.999999999976694e-05,-1.1547677473416026e-05,,,,,
1994-06-01,8.6596,-0.0001000000000015433,-1.154781082406545e-05,,,,,
1994-06-02,8.6594,-0.00019999999999953388,-2.3096021711202606e-05,,,,,
1994-06-03,8.6591,-0.0002999999999993008,-3.464503277178073e-05,,,,,
1994-06-06,8.6591,0.0,0.0,,,,,
1994-06-07,8.659,-9.999999999976694e-05,-1.154861099091273e-05,,,,,
1994-06-08,8.659,0.0,0.0,,,,,
1994-06-09,8.6588,-0.00020000000000131024,-2.3097622101016337e-05,,,,,
1994-06-10,8.6585,-0.0002999999999993008,-3.464743349475336e-05,,,,,
1994-06-13,8.6583,-0.00019999999999953388,-2.309895592812074e-05,,,,,
1994-06-14,8.6581,-0.00020000000000131024,-2.309948950241813e-05,,,,,
1994-06-15,8.6579,-0.00019999999999953388,-2.3100023101030253e-05,,,,,
1994-06-16,8.6575,-0.00039999999999906777,-4.620164709685098e-05,,,,,
1994-06-17,8.6573,-0.00020000000000131024,-2.3101624045308573e-05,,,,,
1994-07-01,8.6517,-0.005599999999999383,-0.0006470622445419378,,,,,
1994-07-04,8.651,-0.000700000000000145,-8.091222761557123e-05,,,,,
1994-07-05,8.65,-0.0009999999999994458,-0.00011560025444923838,,,,,
1994-07-06,8.6496,-0.0004000000000008441,-4.624384379661439e-05,,,,,
1994-07-07,8.649,-0.000600000000000378,-6.936977561665053e-05,,,,,
1994-07-08,8.6481,-0.0008999999999996788,-0.0001040636870702674,,,,,
1994-07-11,8.6474,-0.000700000000000145,-8.094591083025447e-05,,,,,
1994-07-12,8.6466,-0.0007999999999999119,-9.251763624039073e-05,,,,,
1994-07-13,8.6458,-0.0007999999999999119,-9.25261965453572e-05,,,,,
1994-07-14,8.6447,-0.0010999999999992127,-0.00012723750053305743,,,,,
1994-07-15,8.6437,-0.0009999999999994458,-0.00011568450534636791,,,,,
1994-07-18,8.6429,-0.0008000000000016882,-9.255724093492688e-05,,,,,
1994-07-19,8.6418,-0.0010999999999992127,-0.00012728019595185017,,,,,
1994-07-20,8.6408,-0.0009999999999994458,-0.0001157233287949599,,,,,
1994-07-21,8.6389,-0.001900000000000901,-0.00021991122619704126,,,,,
1994-07-22,8.6364,-0.0024999999999995026,-0.00028943057630852176,,,,,
1994-07-25,8.6335,-0.0029000000000003467,-0.0003358444492739879,,,,,
1994-07-26,8.6295,-0.0039999999999995595,-0.0004634188810271204,,,,,
1994-07-27,8.6264,-0.0030999999999998806,-0.0003592974035952083,,,,,
1994-07-28,8.6238,-0.002600000000001046,-0.0003014457826215666,,,,,
1994-07-29,8.6214,-0.0023999999999997357,-0.0002783383220251801,,,,,
1994-08-01,8.6197,-0.0016999999999995907,-0.00019720319533080534,,,,,
1994-08-02,8.6169,-0.00280000000000058,-0.0003248900623823877,,,,,
1994-08-03,8.6141,-0.0027999999999988034,-0.0003249956502401763,,,,,
1994-08-04,8.6114,-0.002700000000000813,-0.00031348872568143563,,,,,
1994-08-05,8.6088,-0.0025999999999992696,-0.0003019709433986543,,,,,
1994-08-08,8.6055,-0.003300000000001191,-0.00038340217614720525,,,,,
1994-08-09,8.6023,-0.0031999999999996476,-0.0003719243641705003,,,,,
1994-08-10,8.6003,-0.0019999999999988916,-0.0002325229917582192,,,,,
1994-08-11,8.5982,-0.002100000000000435,-0.000244207344877367,,,,,
1994-08-12,8.5962,-0.002000000000000668,-0.00023263388184760283,,,,,
1994-08-15,8.5938,-0.0023999999999997357,-0.0002792321135070882,,,,,
1994-08-16,8.5912,-0.0025999999999992696,-0.00030258946986762037,,,,,
1994-08-17,8.5887,-0.002500000000001279,-0.0002910377845793847,,,,,
1994-08-18,8.5856,-0.0030999999999998806,-0.00036100452812251214,,,,,
1994-08-19,8.5831,-0.0024999999999995026,-0.00029122764305616796,,,,,
1994-08-22,8.5801,-0.0030000000000001137,-0.0003495851625049659,,,,,
1994-08-23,8.5774,-0.0026999999999990365,-0.0003147311697259597,,,,,
1994-08-24,8.5758,-0.0016000000000016001,-0.00018655411289340352,,,,,
1994-08-25,8.5735,-0.0022999999999999687,-0.000268232524218537,,,,,
1994-08-26,8.5708,-0.0026999999999990365,-0.00031497349233512104,,,,,
1994-08-29,8.5675,-0.0032999999999994145,-0.00038510237780679145,,,,,
1994-08-30,8.5643,-0.003200000000001424,-0.00037357429309436415,,,,,
1994-08-31,8.5616,-0.0026999999999990365,-0.00031531189862942725,,,,,
1994-09-01,8.5591,-0.0024999999999995026,-0.00029204413578513,,,,,
1994-09-02,8.5565,-0.002600000000001046,-0.0003038164037486546,,,,,
1994-09-05,8.554,-0.0024999999999995026,-0.00029221823065244063,,,,,
1994-09-06,8.5511,-0.0029000000000003467,-0.00033908016062887073,,,,,
1994-09-07,8.5491,-0.002000000000000668,-0.00023391539386903774,,,,,
1994-09-08,8.547,-0.0020999999999986585,-0.00024567006633799393,,,,,
1994-09-09,8.5448,-0.002200000000000202,-0.0002574333905323145,,,,,
1994-09-10,8.5422,-0.002600000000001046,-0.00030432492773074533,,,,,
1994-09-13,8.5407,-0.0015000000000000568,-0.0001756142111532899,,,,,
1994-09-14,8.5396,-0.0010999999999992127,-0.00012880335843282423,,,,,
1994-09-15,8.5381,-0.0015000000000000568,-0.00017566768403912491,,,,,
1994-09-16,8.5365,-0.0015999999999998238,-0.00018741288284156705,,,,,
1994-09-17,8.5352,-0.001300000000000523,-0.00015229883403678631,,,,,
1994-09-20,8.534,-0.0011999999999989797,-0.00014060412930611078,,,,,
1994-09-21,8.5337,-0.0003000000000010772,-3.515412153159083e-05,,,,,
1994-09-22,8.5333,-0.00039999999999906777,-4.687408449905005e-05,,,,,
1994-09-23,8.5325,-0.0007999999999999119,-9.37547610526605e-05,,,,,
1994-09-24,8.532,-0.0005000000000006111,-5.8601189620953756e-05,,,,,
1994-09-27,8.5311,-0.0008999999999996788,-0.00010549079602580966,,,,,
1994-09-28,8.5303,-0.0007999999999999119,-9.377893966341118e-05,,,,,
1994-09-29,8.5303,0.0,0.0,,,,,
1994-09-30,8.5301,-0.00020000000000131024,-2.3446109119372337e-05,,,,,
1994-10-01,8.53,-9.999999999976694e-05,-1.1723260707872421e-05,,,,,
1994-10-06,8.5301,9.999999999976694e-05,1.172326070776106e-05,,,,,
1994-10-07,8.53,-9.999999999976694e-05,-1.1723260707872421e-05,,,,,
1994-10-08,8.53,0.0,0.0,,,,,
1994-10-11,8.5297,-0.0002999999999993008,-3.5170606755112235e-05,,,,,
1994-10-12,8.5297,0.0,0.0,,,,,
1994-10-13,8.5298,9.999999999976694e-05,1.172367302687998e-05,,,,,
1994-10-14,8.5297,-9.999999999976694e-05,-1.1723673026888997e-05,,,,,
1994-10-15,8.5297,0.0,0.0,,,,,
1994-10-18,8.5296,-9.999999999976694e-05,-1.1723810473000596e-05,,,,,
1994-10-19,8.5296,0.0,0.0,,,,,
1994-10-20,8.5295,-9.999999999976694e-05,-1.1723947922331898e-05,,,,,
1994-10-21,8.5295,0.0,0.0,,,,,
1994-10-22,8.5295,0.0,0.0,,,,,
1994-10-25,8.529,-0.0005000000000006111,-5.862180146476299e-05,,,,,
1994-10-26,8.5285,-0.0005000000000006111,-5.862523818185716e-05,,,,,
1994-10-27,8.5282,-0.0002999999999993008,-3.5176792700842924e-05,,,,,
1994-10-28,8.5273,-0.0008999999999996788,-0.00010553780315263042,,,,,
1994-10-29,8.5266,-0.000700000000000145,-8.209265920325313e-05,,,,,
1994-11-01,8.526,-0.000600000000000378,-7.037050071516988e-05,,,,,
1994-11-02,8.5254,-0.000600000000000378,-7.037545307102936e-05,,,,,
1994-11-03,8.5248,-0.0005999999999986017,-7.038040612384942e-05,,,,,
1994-11-04,8.5238,-0.0010000000000012221,-0.00011731168555170204,,,,,
1994-11-05,8.5227,-0.0010999999999992127,-0.00012905875124233788,,,,,
1994-11-08,8.5218,-0.0008999999999996788,-0.00010560591402931075,,,,,
1994-11-09,8.5208,-0.0010000000000012221,-0.00011735298618155375,,,,,
1994-11-10,8.52,-0.0007999999999999119,-9.389230559449299e-05,,,,,
1994-11-11,8.519,-0.0009999999999994458,-0.000117377780520845,,,,,
1994-11-12,8.518,-0.0009999999999994458,-0.00011739155968165177,,,,,
