date,SH,SZ,HS300,CSI500
2005-09-27,-1.905418878707384,-1.7730472927643268,-1.5669382980176914,-2.064976943159864
2005-09-28,-0.12980076965584422,0.09591753935707126,-0.05420563981988578,-0.5382270265034139
2005-09-29,2.0741717507544473,1.2941088210608562,1.3474952473367563,2.196589927048058
2005-09-30,0.010384665320203473,0.6379000717818144,0.15381513584211895,-0.20450374774314803
2005-10-10,-1.4521557740612574,-1.5450581667769292,-1.103748237487063,-1.2451991054208844
2005-10-11,1.588786718872379,0.9875514724161192,1.3574076535621387,2.2874651233402052
2005-10-12,0.40189097835456566,0.14675904042507992,0.4090695316536842,1.0292618307889154
2005-10-13,-0.7984626297906015,-0.7251577807389105,-0.7597903930577421,-0.48104160151913183
2005-10-14,-1.1395488384375383,-1.3878294975433998,-1.2814986528839718,-0.8411530129562672
2005-10-17,-0.7195321078599634,-1.1290161739753437,-0.8000264590791413,0.3088655927882213
2005-10-18,0.8642213800604353,-0.1526720583158207,0.5277819350198132,1.6858325526367748
2005-10-19,-0.5791360806888943,-0.8653613353036499,-0.4030853101644151,-0.8303371845311441
2005-10-20,0.1180325695485348,-0.30798507555714744,0.13120880758878792,0.02707489609627107
2005-10-21,0.47161820543528843,0.4951318636751074,0.49769269125162713,0.951971176316275
2005-10-24,-0.01314354062588306,0.4801446780469099,0.2473690702947961,0.3045534736501509
2005-10-25,-1.7012548583220588,-1.5973856863715334,-1.3748745100575106,-2.2734652727030698
2005-10-26,-2.2316480328479487,-3.0399343668488075,-2.084715262891769,-2.7201797298442814
2005-10-27,0.0564935730807644,0.18159924846914743,0.003425302711467632,-0.7569293670574527
2005-10-28,-1.5523686307057174,-1.3628811765833542,-0.9314237034308229,-2.6940917343705526
2005-10-31,1.0995238871508706,1.1625028674627602,0.980506820395072,0.4353827354983971
2005-11-01,-0.26296876481705855,-0.025545183181416492,-0.38990416145554785,-0.6452845955170502
2005-11-02,1.352344803067347,1.128634190875012,1.0949492708383113,2.0425679311654976
2005-11-03,-0.8654363443734353,-0.6055103001460771,-0.899235454038908,-1.3671186968222557
2005-11-04,0.43547251005263254,0.427033108998381,0.4312761257053479,0.746384239388882
2005-11-07,0.05452810604506113,-0.027543595357716725,-0.12303207220524494,0.8204587142283858
2005-11-08,0.8594226952244856,0.2609870653353287,0.48214785237831925,0.8243835755654483
2005-11-09,-0.1803183105902315,0.36357544390783747,-0.25784188254296503,-0.4557053598371881
2005-11-10,-1.8075112503666997,-1.5952786740603102,-1.8689343331438968,-2.8614873777078027
2005-11-11,0.1744319928164579,0.13973460216208294,0.21067748682368684,0.3270062419337017
2005-11-14,-0.14227691318525199,-1.1473007526646462,-0.30574334447490487,0.4371710776651008
2005-11-15,-0.10477171754675055,-0.44256868204836963,-0.6411509114152953,-0.8591973053076953
2005-11-16,0.7676139184696857,0.6640678357883524,0.7535970911096925,0.7528053133586783
2005-11-17,-0.05293903007902027,0.1344048058007151,-0.05330922955346763,-0.10771624470394701
2005-11-18,1.9609091862433627,2.938559074850115,2.2443488887881955,2.149177681266422
2005-11-21,0.2628592356367832,0.3992943414607702,0.18458651644731347,0.38090777704703654
2005-11-22,-1.918385704389116,-1.6797442914935943,-1.6253658377343332,-1.809750773882627
2005-11-23,0.6432582366758666,0.6986448655880755,0.7572278929377911,0.7605328024609234
2005-11-24,0.686761414362008,0.39536238912964117,0.5985043922148713,0.42623678966231476
2005-11-25,0.139120154916536,0.30357290865397324,0.2967831811379005,-0.06774303070403088
2005-11-28,-0.3684172129254327,-0.4254816984216315,-0.4466418652238041,-0.33224797900971065
2005-11-29,-1.2528415848568457,-1.1631831050254822,-1.0117244358670432,-1.360695927138008
2005-11-30,0.20671606678092364,-0.19630680912629486,0.2888022452687342,0.30063227814861787
2005-12-01,-0.046405613182128276,0.2876111065846079,-0.08701128260912919,-0.15805129700976442
